team_1,team_2,team_1_score,team_2_score,venue
Mumbai Indians,Chennai Super Kings,149/8,148/7,Hyderabad
Chennai Super Kings,Delhi Capitals,151/4,147/9,Visakhapatnam
Delhi Capitals,Sunrisers Hyderabad,165/8,162/8,Visakhapatnam
Mumbai Indians,Chennai Super Kings,132/4,131/4,Chennai
Mumbai Indians,Kolkata Knight Riders,134/1,133/7,Mumbai
Kings XI Punjab,Chennai Super Kings,173/4,170/5,Mohali
Royal Challengers Bangalore,Sunrisers Hyderabad,178/6,175/7,Bengaluru
Delhi Capitals,Rajasthan Royals,121/5,115/9,Delhi
Kings XI Punjab,Kolkata Knight Riders,183/6,185/3,Mohali
Mumbai Indians,Sunrisers Hyderabad,162/5,162/6,Mumbai
Chennai Super Kings,Delhi Capitals,179/4,99,Chennai
Royal Challengers Bangalore,Rajasthan Royals,62/7,41/1,Bengaluru
Sunrisers Hyderabad,Kings XI Punjab,212/6,167/8,Hyderabad
Kolkata Knight Riders,Mumbai Indians,232/2,198/7,Kolkata
Delhi Capitals,Royal Challengers Bangalore,187/5,171/7,Delhi
Rajasthan Royals,Sunrisers Hyderabad,161/3,160/8,Jaipur
Chennai Super Kings,Mumbai Indians,109,155/4,Chennai
Kolkata Knight Riders,Rajasthan Royals,175/6,177/7,Kolkata
Royal Challengers Bangalore,Kings XI Punjab,202/4,185/7,Bengaluru
Chennai Super Kings,Sunrisers Hyderabad,176/4,175/3,Chennai
Rajasthan Royals,Delhi Capitals,191/6,193/4,Jaipur
Royal Challengers Bangalore,Chennai Super Kings,161/7,160/8,Bengaluru
Sunrisers Hyderabad,Kolkata Knight Riders,161/1,159/8,Hyderabad
Delhi Capitals,Kings XI Punjab,166/5,163/7,Delhi
Rajasthan Royals,Mumbai Indians,162/5,161/5,Jaipur
Kolkata Knight Riders,Royal Challengers Bangalore,203/5,213/4,Kolkata
Delhi Capitals,Mumbai Indians,128/9,168/5,Delhi
Sunrisers Hyderabad,Chennai Super Kings,137/4,132/5,Hyderabad
Kings XI Punjab,Rajasthan Royals,182/6,170/7,Mohali
Mumbai Indians,Royal Challengers Bangalore,172/5,171/7,Mumbai
Sunrisers Hyderabad,Delhi Capitals,116,155/7,Hyderabad
Kolkata Knight Riders,Chennai Super Kings,161/8,162/5,Kolkata
Kings XI Punjab,Royal Challengers Bangalore,173/4,174/2,Mohali
Mumbai Indians,Rajasthan Royals,187/5,188/6,Mumbai
Kolkata Knight Riders,Delhi Capitals,178/7,180/3,Kolkata
Rajasthan Royals,Chennai Super Kings,151/7,155/6,Jaipur
Mumbai Indians,Kings XI Punjab,198/7,197/4,Mumbai
Chennai Super Kings,Kolkata Knight Riders,111/3,108/9,Chennai
Kings XI Punjab,Sunrisers Hyderabad,151/4,150/4,Mohali
Rajasthan Royals,Kolkata Knight Riders,139/3,140/2,Jaipur
Royal Challengers Bangalore,Delhi Capitals,149/8,152/6,Bengaluru
Sunrisers Hyderabad,Mumbai Indians,96,136/7,Hyderabad
Chennai Super Kings,Kings XI Punjab,160/3,138/5,Chennai
Royal Challengers Bangalore,Kolkata Knight Riders,205/3,206/5,Bengaluru
Delhi Capitals,Sunrisers Hyderabad,129/8,131/5,Delhi
Mumbai Indians,Chennai Super Kings,170/5,133/8,Mumbai
Rajasthan Royals,Royal Challengers Bangalore,164/3,158/4,Jaipur
Kings XI Punjab,Delhi Capitals,166/9,152,Mohali
Chennai Super Kings,Rajasthan Royals,175/5,167/8,Chennai
Sunrisers Hyderabad,Royal Challengers Bangalore,231/2,113,Hyderabad
Delhi Capitals,Kolkata Knight Riders,185/6,185/8,Delhi
Kings XI Punjab,Mumbai Indians,177/2,176/7,Mohali
Sunrisers Hyderabad,Rajasthan Royals,201/5,198/2,Hyderabad
Royal Challengers Bangalore,Mumbai Indians,181/5,187/8,Bengaluru
Kolkata Knight Riders,Kings XI Punjab,218/4,190/4,Kolkata
Delhi Capitals,Chennai Super Kings,147/6,150/4,Delhi
Rajasthan Royals,Kings XI Punjab,170/9,184/4,Jaipur
Mumbai Indians,Delhi Capitals,176,213/6,Mumbai
Kolkata Knight Riders,Sunrisers Hyderabad,183/4,181/3,Kolkata
Chennai Super Kings,Royal Challengers Bangalore,71/3,70,Chennai
